,zeitung,zeitungLabel,nuts,popLabel,pop,source
177,http://www.wikidata.org/entity/Q300743,Aachener Nachrichten,DEA2D,Städteregion Aachen,http://www.wikidata.org/entity/Q6272,neu - hinzgefügt
178,http://www.wikidata.org/entity/Q300766,Aachener Zeitung,DEA2D,Städteregion Aachen,http://www.wikidata.org/entity/Q6272,neu - hinzgefügt
36,http://www.wikidata.org/entity/Q225076,Abendzeitung,DE212,München,http://www.wikidata.org/entity/Q1726,neu - hinzgefügt
32,http://www.wikidata.org/entity/Q10186,B.Z.,DE300,Berlin,http://www.wikidata.org/entity/Q64,neu - hinzgefügt
43,http://www.wikidata.org/entity/Q10190,Berliner Kurier,DE300,Berlin,http://www.wikidata.org/entity/Q64,neu - hinzgefügt
34,http://www.wikidata.org/entity/Q700856,Berliner Morgenpost,DE300,Berlin,http://www.wikidata.org/entity/Q64,neu - hinzgefügt
35,http://www.wikidata.org/entity/Q10185,Berliner Zeitung,DE300,Berlin,http://www.wikidata.org/entity/Q64,neu - hinzgefügt
48,http://www.wikidata.org/entity/Q902014,Braunschweiger Zeitung,DE911,Braunschweig,http://www.wikidata.org/entity/Q2773,neu - hinzgefügt
83,http://www.wikidata.org/entity/Q902014,Braunschweiger Zeitung,DE912,Salzgitter,http://www.wikidata.org/entity/Q3200,neu - hinzgefügt
91,http://www.wikidata.org/entity/Q902014,Braunschweiger Zeitung,DE913,Wolfsburg,http://www.wikidata.org/entity/Q3014,neu - hinzgefügt
54,http://www.wikidata.org/entity/Q902014,Braunschweiger Zeitung,DE914,Landkreis Gifhorn,http://www.wikidata.org/entity/Q6053,neu - hinzgefügt
56,http://www.wikidata.org/entity/Q902014,Braunschweiger Zeitung,DE917,Landkreis Helmstedt,http://www.wikidata.org/entity/Q6047,neu - hinzgefügt
66,http://www.wikidata.org/entity/Q902014,Braunschweiger Zeitung,DE91A,Landkreis Peine,http://www.wikidata.org/entity/Q6045,neu - hinzgefügt
55,http://www.wikidata.org/entity/Q902014,Braunschweiger Zeitung,DE91B,Landkreis Wolfenbüttel,http://www.wikidata.org/entity/Q6041,neu - hinzgefügt
65,http://www.wikidata.org/entity/Q902014,Braunschweiger Zeitung,DEE09,Landkreis Harz,http://www.wikidata.org/entity/Q6087,neu - hinzgefügt
126,http://www.wikidata.org/entity/Q907908,Bremer Tageszeitungen,DE501,Bremen,http://www.wikidata.org/entity/Q24879,neu - hinzgefügt
22,http://www.wikidata.org/entity/Q1166464,Darmstädter Echo,DE128,Rhein-Neckar-Kreis,http://www.wikidata.org/entity/Q8177,neu - hinzgefügt
10,http://www.wikidata.org/entity/Q1166464,Darmstädter Echo,DE711,Darmstadt,http://www.wikidata.org/entity/Q2973,neu - hinzgefügt
15,http://www.wikidata.org/entity/Q1166464,Darmstädter Echo,DE715,Kreis Bergstraße,http://www.wikidata.org/entity/Q7917,neu - hinzgefügt
21,http://www.wikidata.org/entity/Q1166464,Darmstädter Echo,DE716,Landkreis Darmstadt-Dieburg,http://www.wikidata.org/entity/Q7916,neu - hinzgefügt
20,http://www.wikidata.org/entity/Q1166464,Darmstädter Echo,DE717,Kreis Groß-Gerau,http://www.wikidata.org/entity/Q7914,neu - hinzgefügt
23,http://www.wikidata.org/entity/Q1166464,Darmstädter Echo,DE71B,Odenwaldkreis,http://www.wikidata.org/entity/Q7919,neu - hinzgefügt
72,http://www.wikidata.org/entity/Q1196354,Der Rabe Ralf,DE300,Berlin,http://www.wikidata.org/entity/Q64,neu - hinzgefügt
29,http://www.wikidata.org/entity/Q10189,Der Tagesspiegel,DE300,Berlin,http://www.wikidata.org/entity/Q64,neu - hinzgefügt
31,http://www.wikidata.org/entity/Q1258554,Dresdner Neueste Nachrichten,DED21,Dresden,http://www.wikidata.org/entity/Q1731,neu - hinzgefügt
151,http://www.wikidata.org/entity/Q493537,Flensborg Avis,DEF01,Flensburg,http://www.wikidata.org/entity/Q3798,neu - hinzgefügt
41,http://www.wikidata.org/entity/Q10184,Frankfurter Allgemeine Zeitung,DE712,Frankfurt am Main,http://www.wikidata.org/entity/Q1794,neu - hinzgefügt
5,http://www.wikidata.org/entity/Q326068,Frankfurter Rundschau,DE711,Darmstadt,http://www.wikidata.org/entity/Q2973,neu - hinzgefügt
12,http://www.wikidata.org/entity/Q326068,Frankfurter Rundschau,DE712,Frankfurt am Main,http://www.wikidata.org/entity/Q1794,neu - hinzgefügt
11,http://www.wikidata.org/entity/Q326068,Frankfurter Rundschau,DE714,Wiesbaden,http://www.wikidata.org/entity/Q1721,neu - hinzgefügt
18,http://www.wikidata.org/entity/Q326068,Frankfurter Rundschau,DE717,Kreis Groß-Gerau,http://www.wikidata.org/entity/Q7914,neu - hinzgefügt
17,http://www.wikidata.org/entity/Q326068,Frankfurter Rundschau,DE718,Hochtaunuskreis,http://www.wikidata.org/entity/Q7908,neu - hinzgefügt
14,http://www.wikidata.org/entity/Q326068,Frankfurter Rundschau,DE719,Main-Kinzig-Kreis,http://www.wikidata.org/entity/Q7911,neu - hinzgefügt
19,http://www.wikidata.org/entity/Q326068,Frankfurter Rundschau,DE71A,Main-Taunus-Kreis,http://www.wikidata.org/entity/Q7909,neu - hinzgefügt
0,http://www.wikidata.org/entity/Q326068,Frankfurter Rundschau,DE71C,Landkreis Offenbach,http://www.wikidata.org/entity/Q7912,neu - hinzgefügt
25,http://www.wikidata.org/entity/Q1523455,Gießener Allgemeine Zeitung,DE721,Landkreis Gießen,http://www.wikidata.org/entity/Q7904,neu - hinzgefügt
26,http://www.wikidata.org/entity/Q1523455,Gießener Allgemeine Zeitung,DE725,Vogelsbergkreis,http://www.wikidata.org/entity/Q7901,neu - hinzgefügt
